player,Total_Balls,Risk_Score,Risk_Level
Akash Singh,141,1.41,Low
P Dogra,141,1.41,Low
S Ladda,141,1.41,Low
Mayank Dagar,138,1.38,Low
V Sehwag,138,1.38,Low
MM Sharma,137,1.37,Low
MN van Wyk,135,1.35,Low
MC Juneja,134,1.34,Low
SB Styris,134,1.34,Low
R Shepherd,133,1.33,Low
WG Jacks,133,1.33,Low
JC Archer,132,1.32,Low
P Amarnath,132,1.32,Low
Azmatullah Omarzai,131,1.31,Low
SS Cottrell,131,1.31,Low
R Shukla,130,1.3,Low
W Jaffer,129,1.29,Low
RT Ponting,129,1.29,Low
K Khejroliya,129,1.29,Low
RD Chahar,127,1.27,Low
MA Wood,127,1.27,Low
SD Hope,125,1.25,Low
Bipul Sharma,124,1.24,Low
MF Maharoof,124,1.24,Low
NK Patel,124,1.24,Low
AK Markram,123,1.23,Low
Sachin Baby,123,1.23,Low
Mohammed Siraj,122,1.22,Low
JE Taylor,122,1.22,Low
S Anirudha,121,1.21,Low
T Shamsi,120,1.2,Low
CR Brathwaite,120,1.2,Low
CJ Ferguson,119,1.19,Low
AD Hales,119,1.19,Low
Harpreet Singh,119,1.19,Low
Ashutosh Sharma,118,1.18,Low
DL Vettori,118,1.18,Low
Nithish Kumar Reddy,118,1.18,Low
Anmolpreet Singh,117,1.17,Low
S Dube,117,1.17,Low
M de Lange,116,1.16,Low
SM Pollock,116,1.16,Low
BB Samantray,116,1.16,Low
S Vidyut,115,1.15,Low
Shivam Sharma,114,1.14,Low
S Narwal,113,1.13,Low
AL Menaria,113,1.13,Low
SS Prabhudessai,113,1.13,Low
DS Kulkarni,113,1.13,Low
Ankit Soni,112,1.12,Low
RJ Harris,112,1.12,Low
Jaskaran Singh,111,1.11,Low
JDP Oram,110,1.1,Low
Aman Hakim Khan,109,1.09,Low
MA Starc,109,1.09,Low
A Raghuvanshi,109,1.09,Low
M Kartik,109,1.09,Low
TG Southee,108,1.08,Low
TK Curran,108,1.08,Low
SB Wagh,108,1.08,Low
A Choudhary,108,1.08,Low
SE Rutherford,107,1.07,Low
RJW Topley,107,1.07,Low
KMDN Kulasekara,107,1.07,Low
P Suyal,107,1.07,Low
P Sahu,107,1.07,Low
Ramandeep Singh,106,1.06,Low
RJ Quiney,105,1.05,Low
UT Khawaja,105,1.05,Low
MJ Henry,105,1.05,Low
N Burger,105,1.05,Low
D Wiese,105,1.05,Low
DJ Harris,103,1.03,Low
Shoaib Ahmed,103,1.03,Low
AB McDonald,103,1.03,Low
SL Malinga,103,1.03,Low
KJ Abbott,102,1.02,Low
DJM Short,102,1.02,Low
B Lee,102,1.02,Low
DJ Jacobs,101,1.01,Low
IR Jaggi,100,1.0,Low
MW Short,99,0.99,Low
SH Johnson,99,0.99,Low
AD Nath,99,0.99,Low
GHS Garton,97,0.97,Low
PR Shah,97,0.97,Low
RV Gomez,97,0.97,Low
MJ Clarke,96,0.96,Low
OF Smith,95,0.95,Low
MK Lomror,94,0.94,Low
JA Richardson,94,0.94,Low
M Morkel,93,0.93,Low
JDS Neesham,93,0.93,Low
SD Chitnis,92,0.92,Low
FA Allen,91,0.91,Low
AC Blizzard,91,0.91,Low
PD Collingwood,90,0.9,Low
DG Nalkande,89,0.89,Low
YS Chahal,89,0.89,Low
AA Jhunjhunwala,88,0.88,Low
AA Bilakhia,88,0.88,Low
Sikandar Raza,88,0.88,Low
S Nadeem,88,0.88,Low
Iqbal Abdulla,86,0.86,Low
WD Parnell,86,0.86,Low
Mohammad Hafeez,84,0.84,Low
Naman Dhir,84,0.84,Low
DJ Muthuswami,84,0.84,Low
VR Iyer,84,0.84,Low
Gagandeep Singh,84,0.84,Low
Arjun Tendulkar,83,0.83,Low
RN ten Doeschate,83,0.83,Low
Gurkeerat Singh,82,0.82,Low
S Rana,82,0.82,Low
Mohammed Shami,82,0.82,Low
Misbah-ul-Haq,82,0.82,Low
TA Boult,82,0.82,Low
CJ Jordan,81,0.81,Low
PWH de Silva,80,0.8,Low
JJ Bumrah,80,0.8,Low
JR Philippe,80,0.8,Low
AD Mascarenhas,79,0.79,Low
AJ Tye,79,0.79,Low
RP Singh,78,0.78,Low
